drama_id,genre_id
1,3
1,8
1,35
2,1
3,16
3,35
4,1
4,8
4,10
4,16
5,1
5,8
5,16
5,35
6,1
6,32
6,36
6,49
7,1
7,3
7,36
7,49
8,1
8,3
8,36
8,49
9,1
9,3
9,32
9,36
10,1
10,3
10,36
10,49
11,1
11,8
11,13
11,36
11,41
12,16
12,32
12,49
13,8
13,16
13,35
14,10
14,16
14,32
14,49
15,16
15,36
15,49
16,8
16,9
16,16
16,35
17,1
17,8
17,10
17,16
17,22
18,13
18,16
18,20
18,25
18,32
18,36
19,1
19,32
19,36
19,43
19,49
20,1
20,3
20,16
20,36
21,1
21,3
21,20
21,41
22,1
22,36
22,41
22,50
23,1
23,4
23,41
24,1
24,8
24,13
24,41
25,3
25,20
25,41
25,50
26,16
27,10
27,16
27,25
27,32
28,1
28,3
28,4
28,20
28,31
29,2
29,16
29,25
29,32
29,49
30,3
30,8
30,20
30,31
31,3
31,4
31,8
31,18
31,20
32,3
32,4
32,8
32,18
32,21
33,3
33,4
33,8
33,18
33,22
34,3
34,4
34,8
34,18
34,23
35,3
35,4
35,8
35,18
35,24
36,3
36,4
36,8
36,18
36,39
37,3
37,4
37,8
37,18
37,39
38,3
38,4
38,8
38,18
38,39
39,3
39,4
39,8
39,18
39,20
39,31
40,3
40,4
40,8
40,18
40,20
40,31
41,1
41,12
41,16
41,28
42,1
42,10
42,16
42,33
42,49
43,3
43,8
43,16
43,18
43,20
44,16
44,35
45,1
45,10
45,16
45,34
45,49
46,3
46,18
46,20
47,3
47,18
47,20
47,32
48,1
48,3
48,10
48,32
48,49
49,1
49,4
49,10
49,32
49,49
50,1
50,4
50,10
50,32
50,49
51,1
51,4
51,10
51,32
51,49
52,1
52,4
52,10
52,32
52,49
53,8
53,16
53,30
53,35
54,1
54,3
54,4
54,20
55,1
55,3
55,4
55,20
56,1
56,3
56,4
56,20
57,1
57,3
57,4
57,20
58,1
58,3
58,4
58,20
59,3
59,4
59,8
59,18
59,20
60,3
60,4
60,8
60,18
60,20
61,3
61,4
61,8
61,18
61,20
62,3
62,4
62,8
62,18
62,20
63,8
63,18
64,1
64,3
65,1
65,3
65,20
66,1
66,8
67,1
67,3
68,1
68,3
68,10
68,16
68,32
68,49
69,1
69,3
69,5
69,16
69,20
70,1
70,3
70,5
70,16
70,20
71,1
71,3
71,5
71,16
71,20
72,1
72,7
72,16
72,36
72,39
73,1
73,3
73,4
73,18
73,20
74,8
74,10
74,16
74,32
74,49
75,32
75,49
76,16
76,35
77,10
77,16
78,16
78,32
78,36
79,1
79,3
79,4
79,8
79,18
79,20
80,1
80,3
80,4
80,8
80,16
80,18
80,20
81,1
81,3
81,4
81,8
81,18
81,20
82,1
82,3
82,4
82,8
82,18
82,20
83,1
83,8
83,20
84,3
84,5
84,16
84,20
84,40
85,1
85,3
85,5
85,16
85,20
85,35
